1722333557936	LOCALHOST	Network Interface	Bytes Received/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	848.395324707031	2024-07-30 15:30:13
1722333557937	LOCALHOST	Network Interface	Packets Received Errors	Qualcomm QCA61x4A 802.11ac Wireless Adapter	0	2024-07-30 15:30:13
1722333557937	LOCALHOST	Network Interface	Packets/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	10.5763463973999	2024-07-30 15:30:13
1722333572916	LOCALHOST	LogicalDisk	Current Disk Queue Length	_Total	0	2024-07-30 15:30:13
1722333572916	LOCALHOST	Network Interface	Packets/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572916	LOCALHOST	LogicalDisk	% Disk Time	_Total	0.0243811849504709	2024-07-30 15:30:13
1722333572916	LOCALHOST	Processor	% Interrupt Time	_Total	0.312278658151627	2024-07-30 15:30:13
1722333572916	LOCALHOST	Network Interface	Bytes Total/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572916	LOCALHOST	Network Interface	Bytes Received/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572931	LOCALHOST	Network Interface	Current Bandwidth	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572931	LOCALHOST	Network Interface	Current Bandwidth	Qualcomm QCA61x4A 802.11ac Wireless Adapter	72200000	2024-07-30 15:30:13
1722333572931	LOCALHOST	Network Interface	Bytes Sent/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572931	LOCALHOST	Network Interface	Packets Received Errors	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333572947	LOCALHOST	Network Interface	Packets Received Errors	Qualcomm QCA61x4A 802.11ac Wireless Adapter	0	2024-07-30 15:30:13
1722333572947	LOCALHOST	Network Interface	Bytes Received/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	1014.55413818359	2024-07-30 15:30:13
1722333572947	LOCALHOST	Network Interface	Bytes Sent/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	1315.935546875	2024-07-30 15:30:13
1722333572947	LOCALHOST	Memory	Committed Bytes		9837686784	2024-07-30 15:30:13
1722333572947	LOCALHOST	Memory	Transition Faults/sec		2103.4501953125	2024-07-30 15:30:13
1722333572947	LOCALHOST	Memory	Page Faults/sec		3225.69799804688	2024-07-30 15:30:13
1722333572949	LOCALHOST	Memory	Available Bytes		8991215616	2024-07-30 15:30:13
1722333572951	LOCALHOST	Memory	% Committed Bytes In Use		54.6425018310547	2024-07-30 15:30:13
1722333572953	LOCALHOST	Processor	% User Time	_Total	6.31973266601563	2024-07-30 15:30:13
1722333572953	LOCALHOST	Processor	% Processor Time	_Total	10.483455657959	2024-07-30 15:30:13
1722333572953	LOCALHOST	Processor	Interrupts/sec	_Total	3692.43115234375	2024-07-30 15:30:13
1722333572954	LOCALHOST	Network Interface	Bytes Total/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	2328.3681640625	2024-07-30 15:30:13
1722333572954	LOCALHOST	Processor	% Privileged Time	_Total	4.13424158096313	2024-07-30 15:30:13
1722333572963	LOCALHOST	Network Interface	Packets/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	10.9218854904175	2024-07-30 15:30:13
