5382,0,1721991311084,false,Interact Viz Test,,"Site: bmibmipodv11; Workbook: SystemInventoryv202402; View: SystemsDashboard; IsPublic: false;  Exception: java.lang.Exception: Invalid VQL response from server after performing FilterInteraction interaction. Response: 
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}",InteractVizThreadGroup 1-3,,0,5,5,"Site: bmibmipodv11; Workbook: SystemInventoryv202402; View: SystemsDashboard; IsPublic: false;  Exception: java.lang.Exception: Invalid VQL response from server after performing FilterInteraction interaction. Response: 
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
401,0,1721991312801,true,Bootstrap request,200,"Bootstrap sessionID:74AB4AC7C55A4A22996026B0459A35E5-1:0, status:OK, isRetry:false",InteractVizThreadGroup 1-3,,283104,5,5,"Site: bmibmipodv11; Workbook: SystemInventoryv202402; View: SystemsDashboard; IsPublic: false;  Exception: java.lang.Exception: Invalid VQL response from server after performing FilterInteraction interaction. Response: 
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
{""timeStamp"":""2024-07-26 10:55:14.523"",""errorResponseType"":""Generic"",""errorExtras"":""(ZqOAkpmSdElf4ohrZFbSegAAAoE,1:0)"",""message"":""LogicException: Internal Error - An unexpected error occurred and the operation could not be completed.""}"
2531,0,1721991306969,true,Bootstrap request,200,"Bootstrap sessionID:A5A519ADD0B948E6A6B27620703A6617-1:0, status:OK, isRetry:false",InteractVizThreadGroup 1-5,,97033,5,5,Site: bmibmipodv11; Workbook: EventProfilev202402; View: SuspiciousEvents;
659,0,1721991314777,true,Bootstrap request,200,"Bootstrap sessionID:5DC427A4E821421395DF56B909D3D2D8-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-1,,28018,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsHomev202402; View: InactiveSystems;
362,0,1721991317927,true,Bootstrap request,200,"Bootstrap sessionID:E55D65305E69460CB016B307834D25C6-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-3,,8607,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsHomev202402; View: Remote;
542,0,1721991318197,true,Bootstrap request,200,"Bootstrap sessionID:207DC9C4E3AA47FEBC6F84C1FB3EC48A-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-5,,28216,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsHomev202402; View: InactiveSystems;
293,0,1721991320189,true,Bootstrap request,200,"Bootstrap sessionID:541CD12C195C4C64BD85929502490388-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-3,,67160,5,5,Site: bmibmipodv11; Workbook: ServiceKPIPerformancev202402; View: KPIPerformanceHistoricMR;
1672,0,1721991317740,true,Bootstrap request,200,"Bootstrap sessionID:2AD6FADBA9D44410B83EC6F249544164-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-2,,62810,5,5,Site: bmibmipodv11; Workbook: ServiceKPIDrilldownv202402; View: AlertandKPITrendCT;
1198,0,1721991316320,true,Bootstrap request,200,"Bootstrap sessionID:7973602D5CE841CB8E5046AEDA37E52D-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-4,,103316,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsAlertsHistoricv202402; View: ServiceAlerts;
367,0,1721991322637,true,Bootstrap request,200,"Bootstrap sessionID:5ECC1FEF8B0F4CC6B9667680C8453693-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-3,,8660,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsHomev202402; View: Alert_fixed;
358,0,1721991322290,true,Bootstrap request,200,"Bootstrap sessionID:08089B27AEE44AB2BCBF5B8D0A7A9114-1:1, status:OK, isRetry:false",InteractVizThreadGroup 1-5,,166041,5,5,Site: bmibmipodv11; Workbook: ServiceAidReportv202402; View: ServiceAidReport;
933,0,1721991323236,true,Bootstrap request,200,"Bootstrap sessionID:2EEC909F96FA4CDAB8BD7D963CBC029F-1:0, status:OK, isRetry:false",InteractVizThreadGroup 1-2,,237799,5,5,Site: bmibmipodv11; Workbook: ServiceAnalyticsConnectivityv202402; View: ServiceConnectivity;
